,Cons No,Dtr No,Category,Load,Latitude,Longitude,d
390,133000022949,55,46,1.0,24.9281302,92.651635,1
391,133000022950,55,46,1.0,24.9258147,92.6513465,1
392,133000022952,55,46,1.0,24.9289752,92.6542299,1
393,133000022364,55,46,0.56,24.9254332,92.6519672,1
394,133000022363,55,46,0.46,24.9258147,92.6513465,1
395,133000022362,55,46,0.46,24.9284692,92.647921,1
396,133000028001,55,46,1.0,24.9287275,92.6511068,1
397,133000022365,55,46,0.56,24.9283564,92.6539601,1
398,133000022923,55,46,0.28,24.9258147,92.6513465,1
399,133000022942,55,46,0.16,24.9277445,92.6526286,1
400,133000022940,55,46,0.28,24.9277483,92.65263,1
401,133000022925,55,46,0.28,24.9256,92.6518291,1
402,133000022926,55,46,1.0,24.9263417,92.6542017,1
403,133000022927,55,46,0.22,24.9286122,92.6524305,1
404,133000022929,55,46,0.34,24.9271903,92.6535862,1
405,133000022931,55,46,0.06,24.9258147,92.6513465,1
406,133000022941,55,46,1.0,24.9285717,92.6499617,1
407,133000022932,55,46,1.0,24.9265867,92.6540782,1
408,133000022934,55,46,0.34,24.9307799,92.6429681,1
409,133000022935,55,46,0.4,24.9310189,92.6504155,1
410,133000022936,55,46,0.34,24.9284204,92.6524156,1
411,133000022937,55,46,1.0,24.9254332,92.6519672,1
412,133000022938,55,46,3.0,24.927808,92.6516132,1
413,133000022939,55,46,1.0,24.9295971,92.6470019,1
414,133000022933,55,46,0.28,24.9299116,92.6522232,1
415,133000022374,55,46,0.5,24.9122441,92.6668676,1
416,133000022918,55,46,1.0,24.9370868,92.6634514,1
417,133000051941,55,49,1.0,24.9281317,92.6497051,1
418,133000040522,55,46,0.06,24.9289216,92.6499977,1
419,133000028464,55,46,1.0,24.9284098,92.6495993,1
420,133000028614,55,46,0.57,24.9284745,92.6476226,1
421,133000052194,55,46,0.62,24.9254332,92.6519672,1
422,133000050203,55,46,1.0,24.927205,92.653625,1
423,133000043472,55,43,0.49,24.9258147,92.6513465,1
424,133000031624,55,46,0.62,24.9301227,92.6508874,1
425,133010070280,55,46,1.0,24.9269209,92.6516569,1
426,133000043476,55,46,0.49,24.9258147,92.6513465,1
427,133000026255,55,46,0.98,24.9254332,92.6519672,1
428,133000038840,55,46,1.0,24.9272533,92.6507767,1
429,133000043474,55,43,0.49,24.9298983,92.652255,1
430,133000051886,57,46,1.0,24.9019293,92.6786375,1
431,133000022908,57,46,0.71,24.9042071,92.6786645,1
432,133000022909,57,46,1.39,24.90443,92.6726683,1
433,133000030856,57,46,0.62,24.9006619,92.6842828,1
434,133000038871,57,46,1.0,24.9065052,92.6751808,1
435,133010071029,57,48,1.0,24.9061708,92.6724544,1
436,133000022910,57,46,0.28,24.9065524,92.6718335,1
437,133000022912,57,46,0.95,24.8969507,92.6699707,1
438,133000038862,57,48,1.0,24.9030928,92.6792126,1
439,133000031450,57,46,0.57,24.9047935,92.6762708,1
440,133000031449,57,46,0.54,24.9048512,92.6763248,1
441,133000022914,57,46,1.64,24.9058322,92.6747967,1
442,133000019749,57,46,0.52,24.8969286,92.6712125,1
443,133000019747,57,46,0.68,24.8943235,92.6718335,1
444,133000019739,57,46,1.0,24.8969507,92.6699707,1
445,133000022911,57,46,0.68,24.9052025,92.6723287,1
446,133000019748,57,46,0.63,24.9042126,92.6783539,1
447,133000038934,57,49,1.0,24.8943235,92.6718335,1
448,133010072269,57,46,1.0,24.9037732,92.6783653,1
449,133000024049,57,46,0.52,24.8969507,92.6699707,1
450,133000024048,57,46,0.52,24.8969507,92.6699707,1
451,133000019751,57,46,0.4,24.9058168,92.671523,1
452,133000019750,57,46,0.37,24.8969286,92.6712125,1
453,133000042958,57,46,0.49,24.8965746,92.6702811,1
454,133000028349,57,46,1.0,24.9045588,92.6763329,1
455,133000022900,57,46,2.0,24.9042071,92.6786645,1
456,133000044524,57,43,0.49,24.8925051,92.6743636,1
457,133000044528,57,46,0.49,24.9042071,92.6786645,1
458,133010070223,57,46,1.0,24.9062945,92.671809,1
459,133000022906,57,49,0.66,24.904877,92.675438,1
460,133000037686,57,46,1.0,24.9045887,92.6780434,1
461,133000022901,57,46,1.31,24.9052361,92.6749064,1
462,133000022902,57,46,1.15,24.9050805,92.6749135,1
463,133000052252,57,48,1.0,24.9036103,92.6787988,1
464,133000027682,57,48,0.46,24.9040387,92.6785724,1
465,133000022903,57,46,0.97,24.9048077,92.6749109,1
466,133000030726,57,48,0.73,24.9065247,92.6733859,1
467,133000022904,57,46,0.84,24.9046119,92.6749243,1
468,133000028467,57,46,0.57,24.9055762,92.6726609,1
469,133000030587,57,46,0.52,24.906923,92.6718335,1
470,133000030590,57,46,0.41,24.9052098,92.675237,1
471,133000030591,57,46,0.57,24.90535,92.6725517,1
472,133000022905,57,46,1.12,24.9049434,92.6749897,1
473,133000005034,102,48,2.0,24.9676283,92.5741765,1
474,133000005035,102,48,0.92,24.9672117,92.573755,1
475,133000005037,102,48,0.6,24.9677996,92.572641,1
476,133000005038,102,48,0.34,24.9458855,92.6687288,1
477,133000005039,102,48,0.98,24.9677193,92.5736072,1
478,133000005040,102,48,0.56,24.9677054,92.5736572,1
479,133000005041,102,48,0.25,24.9676544,92.5720563,1
480,133000005468,102,46,2.0,24.9634641,92.5747554,1
