Sub Div Code,Dtr No,DTR Name,Feeder No,Capacity,Latitude,Longitude
133,611,Haritakar,8,25  kVA,24.883685,92.51593
133,612,612-LATHIMARA-16-KVA,8,16  kVA,24.8750363,92.5431181
133,614,614-KATIGORAH II 100,8,100 kVA,24.9087452,92.5796577
133,615,615-KATHIGORHA-25-KVA-,8,25  kVA,24.9051417,92.577825
133,616,616-KATHIGORHA-16-KVA,8,63  kVA,24.9072967,92.5788033
133,619,619-niz kathigorha-16-kva,8,16  kVA,24.90034,92.5776933
133,623,623-JAGADISHPUR V 100,8,100 kVA,24.8987683,92.5589963
133,624,624-JAGADISHPUR IV 63,8,63  kVA,24.8918896,92.5681629
133,626,626-JAGADISHPUR IV 63,8,63  kVA,24.8974796,92.5680284
133,629,629-LATHIMARA-100-KVA,8,100 kVA,24.8791514,92.5452838
133,631,631-KATHIGORHA-16-KVA,8,16  kVA,24.9000817,92.5736367
133,632,632-talitakar-63-kva,8,63  kVA,24.8835946,92.5251355
133,634,634-CHANDINAGAR-16--KVA,8,16  kVA,24.9244727,92.4971552
133,635,635-JOGODISHPUR-16-KVA,8,16  kVA,24.9099724,92.5599661
133,637,637-CHANDINAGAR-1-16-KVA,8,16  kVA,24.9284735,92.5002039
133,640,640-HARINAGAR-63-KVA,8,63  kVA,24.8929134,92.4987646
133,642,642-HORINAGAR II,8,63  kVA,24.8816267,92.5028967
133,646,646-HARINAGAR II,8,100 kVA,24.88314,92.5033848
